"CLASIFICACIÓN ÚNICA DE OCUPACIONES
PARA COLOMBIA
CUOC 2025";;;;;
Código del Gran Grupo;Código de la Ocupación;Nombre de la Ocupación;SIGLA;Área de Cualificación Principal;
3;31114;Técnicos en metrología / Técnicas en metrología;CNME;Ciencias naturales, matemáticas y estadística;
3;31115;Auxiliares de laboratorio;INQU;Industria química;
3;31121;Técnicos en construcción y arquitectura / Técnicas en construcción y arquitectura;COIF;Construcción e infraestructura;
3;31122;Técnicos en topografía / Técnicas en topografía;COIF;Construcción e infraestructura;
3;31123;Técnicos en cartografía / Técnicas en cartografía;COIF;Construcción e infraestructura;
3;31130;Técnicos en electricidad / Técnicas en electricidad;PEEL;Producción de energía y electricidad;
3;31141;Técnicos en electrónica / Técnicas en electrónica;ELCA;Electrónica y automatización;
3;31142;Técnicos en automatización e instrumentación / Técnicas en automatización e instrumentación;ELCA;Electrónica y automatización;
3;31150;Técnicos en ingeniería mecánica / Técnicas en ingeniería mecánica;FAMA;Fabricación, transformación de materiales, instalación, mantenimiento y reparación;
3;31160;Técnicos en química industrial / Técnicas en química industrial;INQU;Industria química;
3;31171;Técnicos de minas y metalurgia / Técnicas de minas y metalurgia;EMCP;Exploración y extracción de minas, canteras, petróleo y gas;
3;31172;Operarios de exploración geofísica y geológica / Operarias de exploración geofísica y geológica;EMCP;Exploración y extracción de minas, canteras, petróleo y gas;
3;31181;Delineantes y dibujantes técnicos / Delineantes y dibujantes técnicas;COIF;Construcción e infraestructura;
3;31182;Auxiliares de producción gráfica;LIAG;Literatura y artes gráficas;
3;31183;Graficadores de imágenes computarizadas / Graficadoras de imágenes computarizadas;LIAG;Literatura y artes gráficas;
3;31191;Técnicos en fabricación industrial / Técnicas en fabricación industrial;FAMA;Fabricación, transformación de materiales, instalación, mantenimiento y reparación;
3;31199;Técnicos en ciencias físicas y en ingeniería no clasificados en otras ocupaciones / Técnicas en ciencias físicas y en ingeniería no clasificados en otras ocupaciones;FAMA;Fabricación, transformación de materiales, instalación, mantenimiento y reparación;
3;31211;Supervisores de minería y canteras / Supervisoras de minería y canteras;EMCP;Exploración y extracción de minas, canteras, petróleo y gas;
3;31212;Supervisores de perforación y servicio a pozos de petróleo y gas / Supervisoras de perforación y servicio a pozos de petróleo y gas;EMCP;Exploración y extracción de minas, canteras, petróleo y gas;
3;31213;Supervisores y analistas de producción de hidrocarburos / Supervisoras y analistas de producción de hidrocarburos;EMCP;Exploración y extracción de minas, canteras, petróleo y gas;
3;31221;Supervisores de procesamiento de alimentos y bebidas / Supervisoras de procesamiento de alimentos y bebidas;ETAL;Elaboración y transformación de alimentos;
3;31222;Supervisores de fabricación y procesamiento de productos de plástico y caucho / Supervisoras de fabricación y procesamiento de productos de plástico y caucho;INQU;Industria química;
3;31223;Supervisores de procesamiento de la madera y producción de pulpa y papel / Supervisoras de procesamiento de la madera y producción de pulpa y papel;INQU;Industria Química;
3;31224;Supervisores de ensamble de vehículos de motor / Supervisoras de ensamble de vehículos de motor;FAMA;Fabricación, transformación de materiales, instalación, mantenimiento y reparación;
3;31225;Supervisores de impresión y ocupaciones relacionadas / Supervisoras de impresión y ocupaciones relacionadas;LIAG;Literatura y artes gráficas;
3;31226;Supervisores de fabricación y tratamiento de productos mecánicos, metálicos y minerales / Supervisoras de fabricación y tratamiento de productos mecánicos, metálicos y minerales;FAMA;Fabricación, transformación de materiales, instalación, mantenimiento y reparación;
3;31227;Supervisores de fabricación y procesamiento de productos textiles, cuero y piel / Supervisoras de fabricación y procesamiento de productos textiles, cuero y piel;TCCD;Textil, cuero, confección y diseño de modas;
3;31228;Supervisores de fabricación de productos eléctricos y electrónicos / Supervisoras de fabricación de productos eléctricos y electrónicos;PEEL;Producción de Energía y Electricidad;
3;31229;Supervisores de industrias manufactureras no clasificadas en otras ocupaciones / Supervisoras de industrias manufactureras no clasificadas en otras ocupaciones;FAMA;Fabricación, transformación de materiales, instalación, mantenimiento y reparación;
3;31231;Supervisores de la construcción, maestros generales de obra, instalación y reparación / Supervisoras de la construcción, maestros generales de obra, instalación y reparación;COIF;Construcción e infraestructura;
3;31232;Inspectores de sistemas e instalaciones de gas / Inspectoras de sistemas e instalaciones de gas;COIF;Construcción e infraestructura;
3;31310;Operadores de plantas de generación y distribución de energía / Operadoras de plantas de generación y distribución de energía;PEEL;Producción de energía y electricidad;
3;31321;Operadores de plantas de tratamiento de agua / Operadoras de plantas de tratamiento de agua;CPSA;Conservación, protección y saneamiento ambiental;
3;31322;Operadores de incineradores, de hornos crematorios y de rellenos sanitarios / Operadoras de incineradores, de hornos crematorios y de rellenos sanitarios;CPSA;Conservación, protección y saneamiento ambiental;
3;31330;Controladores de instalaciones de procesamiento de productos químicos / Controladoras de instalaciones de procesamiento de productos químicos;INQU;Industria química;
3;31341;Operadores de instalaciones de refinación de petróleo y gas natural / Operadoras de instalaciones de refinación de petróleo y gas natural;INQU;Industria química;
3;31342;Inspectores de oleoductos y gasoductos / Inspectoras de oleoductos y gasoductos;EMCP;Exploración y extracción de minas, canteras, petróleo y gas;
3;31350;Controladores de procesos de producción y tratamiento de metales / Controladoras de procesos de producción y tratamiento de metales;FAMA;Fabricación, transformación de materiales, instalación, mantenimiento y reparación;
3;31390;Técnicos en control de procesos no clasificados en otras ocupaciones / Técnicas en control de procesos no clasificados en otras ocupaciones;INQU;Industria Química;
