"CLASIFICACIÓN ÚNICA DE OCUPACIONES
PARA COLOMBIA
CUOC 2025";;;;
Código del Gran Grupo;Código de la Ocupación;Nombre de la Ocupación;Nivel de Competencia;
3;32571;Inspectores de sanidad, seguridad y salud en el trabajo / Inspectoras de sanidad, seguridad y salud en el trabajo;3;
3;32572;Coordinadores de sistemas integrados de gestión / Coordinadoras de sistemas integrados de gestión;3;
3;32573;Técnicos en prevención, gestión y control ambiental / Técnicas en prevención, gestión y control ambiental;3;
3;32574;Asistentes en saneamiento ambiental / Asistentas en saneamiento ambiental;3;
3;32580;Técnicos en atención prehospitalaria / Técnicas en atención prehospitalaria;3;
3;32590;Otros técnicos y profesionales del nivel medio de la salud no clasificados en otras ocupaciones / Otras técnicas y profesionales del nivel medio de la salud no clasificadas en otras ocupaciones;3;
3;33110;Agentes de bolsa, cambio y otros servicios financieros;3;
3;33120;Analistas y asistentes financieros en préstamos y créditos / Analistas y asistentes financieras en préstamos y créditos;3;
3;33131;Asistentes contables / Asistentas contables;3;
3;33132;Asistentes financieros / Asistentas financieras;3;
3;33133;Asistentes de tesorería / Asistentas de tesorería;3;
3;33134;Técnicos de contabilidad y afines / Técnicas de contabilidad y afines;3;
3;33140;Técnicos y profesionales del nivel medio de servicios estadísticos, matemáticos y afines / Técnicas y profesionales del nivel medio de servicios estadísticos, matemáticos y afines;3;
3;33150;Tasadores, avaluadores y liquidadores de seguros / Tasadoras, avaluadoras y liquidadoras de seguros;3;
3;33210;Agentes y corredores de seguros / Agentes y corredoras de seguros;3;
3;33220;Representantes comerciales;3;
3;33230;Agentes de compras;3;
3;33240;Agentes de operaciones comerciales y consignatarios;3;
3;33311;Asistentes de comercio exterior / Asistentas de comercio exterior;3;
3;33312;Gestores y agentes de servicios de aduana / Gestoras y agentes de servicios de aduana;3;
3;33320;Coordinadores y productores de conferencias, eventos y espectáculos / Coordinadoras y productoras de conferencias, eventos y espectáculos;3;
3;33330;Agentes de empleo y contratistas de mano de obra;3;
3;33340;Agentes inmobiliarios / Agentes inmobiliarias;3;
3;33391;Agentes y promotores culturales, artísticos y deportivos / Agentes y promotoras culturales, artísticas y deportivas;3;
3;33392;Asistentes de mercadeo, publicidad y comunicaciones / Asistentas de mercadeo, publicidad y comunicaciones;3;
3;33393;Auxiliares de promoción artística;2;
3;33399;Agentes de servicios comerciales no clasificados en otras ocupaciones;3;
3;33411;Supervisores administrativos / Supervisoras administrativas;3;
3;33412;Supervisores de entidades financieras / Supervisoras de entidades financieras;3;
3;33413;Supervisores y coordinadores de procesos de negocio, empleados de información y servicio al cliente / Supervisoras y coordinadoras de procesos de negocio, empleadas de información y servicio al cliente;3;
3;33414;Supervisores de personal de correo y mensajería / Supervisoras de personal de correo y mensajería;3;
3;33415;Supervisores de almacenamiento, inventario y distribución / Supervisoras de almacenamiento, inventario y distribución;3;
3;33416;Supervisores de operación de transporte ferroviario / Supervisoras de operación de transporte ferroviario;3;
3;33417;Supervisores de operación de transporte terrestre (no ferroviario) / Supervisoras de operación de transporte terrestre (no ferroviario);3;
3;33420;Secretarios jurídicos / Secretarias jurídicas;3;
3;33431;Asistentes administrativos / Asistentas administrativas;3;
3;33432;Asistentes de talento humano / Asistentas de talento humano;3;
3;33433;Técnicos en archivística / Técnicas en archivística;3;
3;33440;Secretarios médicos / Secretarias médicas;3;
3;33510;Inspectores de aduana, fronteras y migración / Inspectoras de aduana, fronteras y migración;3;
3;33520;Agentes de administración tributaria;3;
3;33530;Funcionarios e inspectores de servicios de seguridad social / Funcionarias e inspectoras de servicios de seguridad social;3;
3;33540;Funcionarios e inspectores gubernamentales de expedición de licencias / Funcionarias e inspectoras gubernamentales de expedición de licencias;3;
3;33551;Inspectores y detectives de policía / Inspectoras y detectives de policía;3;
3;33552;Técnicos investigadores criminalísticos y judiciales / Técnicas investigadoras criminalísticas y judiciales;2;
3;33553;Investigadores criminalísticos y judiciales / Investigadoras criminalísticas y judiciales;3;
3;33590;Agentes de gobierno y profesionales del nivel medio para la aplicación de regulaciones no clasificados en otras ocupaciones;3;
3;34111;Asistentes de juzgados, tribunales y afines / Asistentas de juzgados, tribunales y afines;3;
3;34112;Auxiliares de tribunales;2;
3;34113;Asistentes legales y afines / Asistentas legales y afines;3;
3;34119;Técnicos y profesionales del nivel medio del derecho, de servicios legales y afines, no clasificados en otras ocupaciones / Técnicas y profesionales del nivel medio del derecho, de servicios legales y afines, no clasificadas en otras ocupaciones;3;
3;34120;Trabajadores y asistentes sociales y comunitarios / Trabajadoras y asistentes sociales y comunitarias;3;
3;34130;Auxiliares laicos de las religiones / Auxiliares laicas de las religiones;3;
3;34210;Atletas y deportistas;3;
